date,day,solar_kwh,load_kwh,export_kwh,ac_charge_kwh,battery_charge_kwh,battery_discharge_kwh
2024-11-01,1,1.8,0.0,0.0,0.0,0.0,0.0
2024-11-02,2,9.9,0.0,0.0,0.0,0.0,0.0
2024-11-03,3,11.5,0.0,0.0,0.0,0.0,0.0
2024-11-04,4,1.7,0.0,0.0,0.0,0.0,0.0
2024-11-05,5,13.7,0.1,0.0,0.0,0.0,0.0
2024-11-06,6,5.8,0.0,0.0,0.0,0.0,0.0
2024-11-07,7,8.0,0.0,0.0,0.0,0.0,0.0
2024-11-08,8,10.4,0.0,0.0,0.0,0.0,0.0
2024-11-09,9,11.9,0.1,0.0,0.0,0.0,0.0
2024-11-10,10,12.8,0.0,0.0,0.0,0.0,0.0
2024-11-11,11,18.7,0.0,0.0,0.0,0.0,0.0
2024-11-12,12,16.6,0.1,0.0,0.0,0.0,0.0
2024-11-13,13,16.1,0.0,0.0,0.0,0.0,0.0
2024-11-14,14,13.9,0.0,0.0,0.0,0.0,0.0
2024-11-15,15,3.6,0.0,0.0,0.0,0.0,0.0
2024-11-16,16,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,17,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,19,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,20,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,21,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,22,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,23,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,24,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,25,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,26,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,27,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,28,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,29,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,30,0.0,0.0,0.0,0.0,0.0,0.0
