startTime,renormalTime,eventType,eventText,event,status,faultDuration,serialNum
2025-06-01 21:18:11,2025-06-02 11:02:16,WARNING,Battery voltage low,W026,CLOSE,13.73,2453530335
2025-06-02 21:35:13,2025-06-04 10:17:21,WARNING,Battery voltage low,W026,CLOSE,36.70,2453530335
2025-06-03 18:21:08,2025-06-03 18:27:07,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-06-04 19:20:42,2025-06-05 11:17:02,WARNING,Battery voltage low,W026,CLOSE,15.94,2453530335
2025-06-06 02:08:43,2025-06-06 10:40:13,WARNING,Battery voltage low,W026,CLOSE,8.53,2453530335
2025-06-07 04:12:04,2025-06-08 13:08:53,WARNING,Battery voltage low,W026,CLOSE,32.95,2453530335
2025-06-08 16:39:49,2025-06-09 10:58:27,WARNING,Battery voltage low,W026,CLOSE,18.31,2453530335
2025-06-09 12:33:28,2025-06-10 13:16:07,WARNING,Battery voltage low,W026,CLOSE,24.71,2453530335
2025-06-09 15:14:42,2025-06-09 15:32:38,WARNING,EPS Over load,W028,CLOSE,0.30,2453530335
2025-06-10 17:44:47,2025-06-11 10:53:43,WARNING,Battery voltage low,W026,CLOSE,17.15,2453530335
2025-06-12 03:42:43,2025-06-12 11:16:30,WARNING,Battery voltage low,W026,CLOSE,7.56,2453530335
2025-06-13 02:28:06,2025-06-13 10:37:36,WARNING,Battery voltage low,W026,CLOSE,8.16,2453530335
2025-06-14 03:20:39,2025-06-14 10:06:39,WARNING,Battery voltage low,W026,CLOSE,6.77,2453530335
2025-06-15 05:19:00,2025-06-15 10:21:32,WARNING,Battery voltage low,W026,CLOSE,5.04,2453530335
2025-06-15 12:09:00,2025-06-15 12:14:59,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-06-15 22:04:06,2025-06-16 11:04:13,WARNING,Battery voltage low,W026,CLOSE,13.00,2453530335
2025-06-16 15:18:55,2025-06-16 15:24:55,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-06-16 18:00:08,2025-06-17 12:19:07,WARNING,Battery voltage low,W026,CLOSE,18.32,2453530335
2025-06-17 16:50:16,2025-06-18 12:28:26,WARNING,Battery voltage low,W026,CLOSE,19.64,2453530335
2025-06-17 18:31:46,2025-06-17 18:37:45,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-06-18 16:47:37,2025-06-19 10:47:29,WARNING,Battery voltage low,W026,CLOSE,18.00,2453530335
2025-06-19 21:02:30,2025-06-20 10:20:59,WARNING,Battery voltage low,W026,CLOSE,13.31,2453530335
2025-06-20 11:44:35,2025-06-20 13:49:56,WARNING,Battery voltage low,W026,CLOSE,2.09,2453530335
2025-06-20 20:41:56,2025-06-21 10:35:54,WARNING,Battery voltage low,W026,CLOSE,13.90,2453530335
2025-06-22 08:47:57,2025-06-22 10:31:26,WARNING,Battery voltage low,W026,CLOSE,1.72,2453530335
2025-06-23 02:20:47,2025-06-23 11:06:07,WARNING,Battery voltage low,W026,CLOSE,8.76,2453530335
2025-06-23 10:00:28,2025-06-23 10:06:26,WARNING,EPS Over load,W028,CLOSE,0.10,2453530335
2025-06-23 21:38:56,2025-06-24 10:33:05,WARNING,Battery voltage low,W026,CLOSE,12.90,2453530335
2025-06-24 17:36:58,2025-06-25 10:59:48,WARNING,Battery voltage low,W026,CLOSE,17.38,2453530335
2025-06-25 22:52:10,2025-06-28 20:50:47,WARNING,Battery voltage low,W026,CLOSE,69.98,2453530335
2025-06-29 03:38:45,2025-06-29 11:52:22,WARNING,Battery voltage low,W026,CLOSE,8.23,2453530335
2025-06-29 18:02:50,2025-07-01 19:36:36,WARNING,Fan Stuck,W009,CLOSE,49.56,2453530335
2025-06-29 21:21:53,2025-06-30 10:35:56,WARNING,Battery voltage low,W026,CLOSE,13.23,2453530335
